"","family","genus","binomial","authority","year","number_of_synonyms","number_of_unique_synonyms","commonname","inCSchallenge","common_synonyms_from_HerpMapper","mivs"
"1686","Colubridae","Oligodon","Oligodon torquatus","BOULENGER",1888,5,1,"",0,"","no"
"1687","Colubridae","Oligodon","Oligodon travancoricus","BEDDOME",1877,6,1,"Travancore Kukri Snake",0,"","no"
"1688","Colubridae","Oligodon","Oligodon trilineatus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,6,2,"Three-lined Kukri Snake",0,"","no"
"1689","Colubridae","Oligodon","Oligodon unicolor","KOPSTEIN",1926,3,1,"",0,"","no"
"1690","Colubridae","Oligodon","Oligodon venustus","JERDON",1853,9,5,"Jerdon's Kukri Snake",0,"","no"
"1691","Colubridae","Oligodon","Oligodon waandersi","BLEEKER",1860,6,1,"Bleek's Kukri Snake",0,"","no"
"1692","Colubridae","Oligodon","Oligodon woodmasoni","SCLATER",1891,6,1,"Nicobar Kukri Snake",0,"","no"
"1693","Colubridae","Opheodrys","Opheodrys aestivus","LINNAEUS",1766,23,8,"Rough Green Snake",1,"","no"
"1694","Elapidae","Ophiophagus","Ophiophagus hannah","CANTOR",1836,26,11,"King Cobra",1,"","yes"
"1695","Viperidae","Mixcoatlus","Mixcoatlus melanurus","MÜLLER",1924,15,9,"Black-tailed Montane Pitviper",0,"","yes"
"1696","Viperidae","Ophryacus","Ophryacus undulatus","JAN",1859,10,3,"Mexican Horned Pit Viper",0,"Ophryacus sphenophrys, Ophryacus smaragdinus","yes"
"1697","Colubridae","Opisthotropis","Opisthotropis alcalai","BROWN & LEVITON",1961,4,1,"Gary's Mountain Keelback",0,"","no"
"1698","Colubridae","Opisthotropis","Opisthotropis andersonii","BOULENGER",1888,7,2,"Anderson's Mountain Keelback",0,"","no"
"1699","Colubridae","Opisthotropis","Opisthotropis balteata","COPE",1895,9,4,"Hainan Mountain Keelback",0,"","no"
"1700","Colubridae","Isanophis","Isanophis boonsongi","TAYLOR & ELBEL",1958,11,4,"",0,"","no"
"1701","Colubridae","Opisthotropis","Opisthotropis daovantieni","ORLOV, DAREVSKY & MURPHY",1998,3,0,"Tienâ€™s Mountain Stream Snake",0,"","no"
"1702","Colubridae","Opisthotropis","Opisthotropis guangxiensis","ZHAO, JIANG & HUANG",1978,5,1,"Guangxi Mountain Keelback",0,"","no"
"1703","Colubridae","Opisthotropis","Opisthotropis jacobi","ANGEL & BOURRET",1933,6,0,"Chapa Mountain Keelback",0,"","no"
"1704","Colubridae","Opisthotropis","Opisthotropis kuatunensis","POPE",1928,5,0,"Chinese Mountain Keelback",0,"","no"
"1705","Colubridae","Opisthotropis","Opisthotropis lateralis","BOULENGER",1903,6,1,"Tonkin Mountain Keelback",0,"","no"
"1706","Colubridae","Opisthotropis","Opisthotropis latouchii","BOULENGER",1899,7,2,"Sichuan Mountain Keelback",0,"","no"
"1707","Colubridae","Opisthotropis","Opisthotropis maxwelli","BOULENGER",1914,5,0,"Maxwell's Mountain Keelback",0,"","no"
"1708","Colubridae","Paratapinophis","Paratapinophis praemaxillaris","ANGEL",1929,10,4,"Angel's Mountain Keelback",0,"Opisthotropis praemaxillaris","no"
"1709","Colubridae","Opisthotropis","Opisthotropis rugosa","LIDTH DE JEUDE",1890,7,1,"Sumatra Mountain Keelback",0,"","no"
"1710","Colubridae","Opisthotropis","Opisthotropis spenceri","SMITH",1918,6,1,"Smith's Mountain Keelback",0,"","no"
"1711","Colubridae","Opisthotropis","Opisthotropis typica","MOCQUARD",1890,9,2,"Olive Mountain Keelback",0,"","no"
"1712","Colubridae","Oreocalamus","Oreocalamus hanitschi","BOULENGER",1899,5,0,"Kalimantan Burrowing Snake",0,"","no"
"1713","Viperidae","Garthius","Garthius chaseni","SMITH",1931,8,2,"Mount Kinabalu Pit Viper",0,"Ovophis chaseni","yes"
"1714","Viperidae","Ovophis","Ovophis monticola","GÜNTHER",1864,20,2,"Chinese Mountain Pit Viper",0,"","yes"
"1715","Viperidae","Ovophis","Ovophis okinavensis","BOULENGER",1892,9,2,"Ryukyu Island Pit Viper",0,"","yes"
"1716","Viperidae","Ovophis","Ovophis tonkinensis","BOURRET",1934,7,2,"Tokara Habu Pit Viper",0,"","yes"
"1717","Colubridae","Oxybelis","Oxybelis aeneus","WAGLER",1824,25,10,"Brown Vine Snake",0,"","no"
"1718","Colubridae","Oxybelis","Oxybelis brevirostris","COPE",1861,7,2,"Cope's Vine Snake",0,"","no"
"1719","Colubridae","Oxybelis","Oxybelis fulgidus","DAUDIN",1803,14,3,"Green Vine Snake",0,"","no"
"1720","Colubridae","Oxybelis","Oxybelis wilsoni","VILLA & MCCRANIE",1995,2,0,"Isla de Roatan Vine Snake",0,"","no"
"1721","Lamprophiidae","Oxyrhabdium","Oxyrhabdium leporinum","GÜNTHER",1858,15,3,"GÃ¼nther's Philippine Shrub Snake",0,"","no"
"1722","Lamprophiidae","Oxyrhabdium","Oxyrhabdium modestum","DUMÉRIL",1853,9,4,"Philippine Shrub Snake",0,"","no"
"1723","Colubridae","Oxyrhopus","Oxyrhopus clathratus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,10,4,"DumÃ©ril's False Coral Snake",0,"","no"
"1724","Colubridae","Oxyrhopus","Oxyrhopus doliatus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,8,2,"Bibron's False Coral Snake",0,"Oxyrhopus venezuelanus","no"
"1725","Colubridae","Oxyrhopus","Oxyrhopus fitzingeri","TSCHUDI",1845,10,4,"Fitzinger's False Coral Snake",0,"","no"
"1726","Colubridae","Oxyrhopus","Oxyrhopus formosus","WIED-NEUWIED",1820,14,7,"Yellow-Headed False Coral Snake",0,"","no"
"1727","Colubridae","Oxyrhopus","Oxyrhopus guibei","HOGE & ROMANO",1977,5,1,"Guibe's False Coral Snake",0,"","no"
"1728","Colubridae","Oxyrhopus","Oxyrhopus leucomelas","WERNER",1916,5,2,"Werner's False Coral Snake",0,"","no"
"1729","Colubridae","Oxyrhopus","Oxyrhopus marcapatae","BOULENGER",1902,5,3,"Boulenger's False Coral Snake",0,"","no"
"1730","Colubridae","Oxyrhopus","Oxyrhopus melanogenys","TSCHUDI",1845,12,6,"Tschudi's False Coral Snake",0,"","no"
"1731","Colubridae","Oxyrhopus","Oxyrhopus occipitalis","WIED-NEUWIED",1824,3,1,"Brown-capped False Coral Snake",0,"","no"
"1732","Colubridae","Oxyrhopus","Oxyrhopus petolarius","LINNAEUS",1758,25,11,"Calico False Coral Snake",0,"Oxyrhopus petola","no"
"1733","Colubridae","Oxyrhopus","Oxyrhopus rhombifer","DUMÉRIL, BIBRON  & DUMÉRIL",1854,23,7,"Amazon False Coral Snake",0,"","no"
"1734","Colubridae","Oxyrhopus","Oxyrhopus trigeminus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,8,1,"Brazilian False Coral Snake",0,"","no"
"1735","Elapidae","Oxyuranus","Oxyuranus microlepidotus","MCCOY",1879,11,6,"Fierce Snake",0,"","yes"
"1736","Elapidae","Oxyuranus","Oxyuranus scutellatus","PETERS",1867,20,3,"Coastal Taipan",0,"","yes"
"1737","Elapidae","Pseudechis","Pseudechis pailsei","HOSER",1998,6,2,"Eastern Pygmy Mulga Snake",0,"","yes"
"1738","Colubridae","Hebius","Hebius annamensis","BOURRET",1934,6,2,"",0,"","no"
"1739","Elapidae","Parahydrophis","Parahydrophis mertoni","ROUX",1910,8,2,"Roux's Sea Snake",0,"","no"
"1740","Elapidae","Naja","Naja multifasciata","WERNER",1902,17,6,"Many-banded Cobra",0,"Paranaja multifasciata","yes"
"1741","Elapidae","Parapistocalamus","Parapistocalamus hedigeri","ROUX",1934,3,0,"Hediger's Snake",0,"","unknown"
"1742","Colubridae","Hebius","Hebius chapaensis","BOURRET",1934,6,1,"",0,"","no"
"1743","Lamprophiidae","Pararhadinaea","Pararhadinaea melanogaster","BOETTGER",1898,10,3,"Madagascar Burrowing Snake",0,"","no"
"1744","Pareidae","Pareas","Pareas boulengeri","ANGEL",1920,6,2,"Boulenger's Slug Snake",0,"","no"
"1745","Pareidae","Pareas","Pareas carinatus","BOIE",1828,24,5,"Keeled Slug Snake",1,"","no"
"1746","Pareidae","Pareas","Pareas formosensis","VAN DENBURGH",1909,6,2,"Formosa Slug Snake",0,"","no"
"1747","Pareidae","Pareas","Pareas hamptoni","BOULENGER",1905,11,5,"Hampton's Slug Snake",0,"","no"
"1748","Pareidae","Pareas","Pareas iwasakii","MAKI",1937,5,1,"",0,"","no"
"1749","Pareidae","Pareas","Pareas margaritophorus","JAN",1866,21,9,"Mountain Slug Snake",1,"","no"
"1750","Pareidae","Pareas","Pareas monticola","CANTOR",1839,8,2,"Common Slug Snake",0,"","no"
"1751","Pareidae","Pareas","Pareas nuchalis","BOULENGER",1900,5,1,"",0,"","no"
"1752","Pareidae","Pareas","Pareas stanleyi","BOULENGER",1914,6,3,"Stanley's Slug Snake",0,"","no"
"1753","Pareidae","Asthenodipsas","Asthenodipsas vertebralis","BOULENGER",1900,13,2,"",0,"","no"
"1754","Elapidae","Hydrophis","Hydrophis platurus","LINNAEUS",1766,25,11,"Pelagic Sea Snake",1,"Pelamis platurus","yes"
"1755","Colubridae","Phalotris","Phalotris bilineatus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,19,6,"Two-lined Burrowing Snake",0,"Elapomorphus bilineatus","no"
"1756","Colubridae","Phalotris","Phalotris concolor","FERRAREZZI",1993,4,0,"",0,"","no"
"1757","Colubridae","Phalotris","Phalotris lativittatus","FERRAREZZI",1993,4,0,"",0,"","no"
"1758","Colubridae","Phalotris","Phalotris mertensi","HOGE",1955,4,1,"Merten's Burrowing Snake",0,"Elapomorphus mertensi","no"
"1759","Colubridae","Phalotris","Phalotris multipunctatus","PUORTO & FERRAREZZI",1993,3,0,"",0,"","no"
"1760","Colubridae","Phalotris","Phalotris nasutus","GOMES",1915,5,1,"Gomees' Burrowing Snake",0,"Elapomorphus nasutus","no"
"1761","Colubridae","Phalotris","Phalotris nigrilatus","FERRAREZZI",1993,5,1,"",0,"","no"
"1762","Colubridae","Phalotris","Phalotris tricolor","DUMÉRIL, BIBRON  & DUMÉRIL",1854,16,4,"Tricolor Burrowing Snake",0,"Elapomorphus tricolor","no"
"1763","Colubridae","Philodryas","Philodryas aestiva","DUMÉRIL, BIBRON  & DUMÉRIL",1854,21,7,"Brazilian Green Racer",1,"","no"
"1764","Colubridae","Philodryas","Philodryas arnaldoi","AMARAL",1932,3,1,"Arnaldo's Green Racer",0,"","no"
"1765","Colubridae","Philodryas","Philodryas baroni","BERG",1895,11,2,"Baron's Green Racer",0,"","no"
"1766","Colubridae","Philodryas","Philodryas chamissonis","WIEGMANN",1835,12,8,"Chilean Green Racer",0,"","no"
"1767","Colubridae","Philodryas","Philodryas cordata","DONNELLY & MYERS",1991,4,1,"",0,"","no"
"1768","Colubridae","Philodryas","Philodryas laticeps","WERNER",1900,7,2,"",0,"","no"
"1769","Colubridae","Philodryas","Philodryas livida","AMARAL",1923,6,2,"",0,"","no"
"1770","Colubridae","Philodryas","Philodryas mattogrossensis","KOSLOWSKY",1898,11,3,"Miranda Green Racer",0,"","no"
"1771","Colubridae","Philodryas","Philodryas nattereri","STEINDACHNER",1870,7,1,"Paraguay Green Racer",0,"","no"
"1772","Colubridae","Philodryas","Philodryas olfersii","LICHTENSTEIN",1823,25,10,"Lichtenstein's Green Racer",0,"","no"
"1773","Colubridae","Philodryas","Philodryas patagoniensis","GIRARD",1858,17,7,"Patagonia Green Racer",0,"","no"
"1774","Colubridae","Philodryas","Philodryas psammophidea","GÜNTHER",1872,20,11,"GÃ¼nther's Green Racer",0,"","no"
"1775","Colubridae","Philodryas","Philodryas simonsii","BOULENGER",1900,12,5,"Simons' Green Racer",0,"","no"
"1776","Colubridae","Philodryas","Philodryas tachymenoides","SCHMIDT & WALKER",1943,7,2,"Schmidt's Green Racer",0,"","no"
"1777","Colubridae","Philodryas","Philodryas trilineata","BURMEISTER",1861,16,8,"",0,"","no"
"1778","Colubridae","Philodryas","Philodryas varia","JAN",1863,16,7,"",0,"","no"
"1779","Colubridae","Philodryas","Philodryas viridissima","LINNAEUS",1758,18,6,"",0,"","no"
"1780","Colubridae","Philothamnus","Philothamnus angolensis","BOCAGE",1882,14,6,"Angola Green Snake",0,"","no"
"1781","Colubridae","Philothamnus","Philothamnus battersbyi","LOVERIDGE",1951,9,2,"Battersby's Green Snake",0,"","no"
"1782","Colubridae","Philothamnus","Philothamnus bequaerti","SCHMIDT",1923,7,2,"Bequaert's Green Snake",0,"","no"
"1783","Colubridae","Philothamnus","Philothamnus carinatus","ANDERSSON",1901,14,3,"Thirteen-scaled Green Snake",0,"","no"
"1784","Colubridae","Philothamnus","Philothamnus dorsalis","BOCAGE",1866,9,2,"Striped Green Snake",0,"","no"
"1785","Colubridae","Philothamnus","Philothamnus girardi","BOCAGE",1893,9,1,"Girard's Green Snake",0,"","no"
"1786","Colubridae","Philothamnus","Philothamnus heterodermus","HALLOWELL",1857,16,7,"Variable Green Snake",0,"","no"
"1787","Colubridae","Philothamnus","Philothamnus heterolepidotus","GÜNTHER",1863,18,7,"Slender Green Snake",0,"","no"
"1788","Colubridae","Philothamnus","Philothamnus hoplogaster","GÜNTHER",1863,18,7,"Southeastern Green Snake",0,"","no"
"1789","Colubridae","Philothamnus","Philothamnus hughesi","TRAPE & ROUX-ESTEVE",1990,5,0,"Hughes' Green Snake",0,"","no"
"1790","Colubridae","Philothamnus","Philothamnus irregularis","LEACH",1819,20,10,"Western Green Snake",0,"","no"
"1791","Colubridae","Philothamnus","Philothamnus macrops","BOULENGER",1895,8,2,"Usambara Green Snake",0,"","no"
"1792","Colubridae","Philothamnus","Philothamnus natalensis","SMITH",1848,17,6,"East Natal Green Snake",0,"","no"
"1793","Colubridae","Philothamnus","Philothamnus nitidus","GÜNTHER",1863,17,4,"Green Bush Snake",0,"","no"
"1794","Colubridae","Philothamnus","Philothamnus ornatus","BOCAGE",1872,10,2,"Ornate Green Snake",0,"","no"
"1795","Colubridae","Philothamnus","Philothamnus punctatus","PETERS",1867,8,3,"Spotted Green Snake",0,"","no"
"1796","Colubridae","Philothamnus","Philothamnus semivariegatus","SMITH",1840,18,6,"Variagated Green Snake",1,"","no"
"1797","Colubridae","Philothamnus","Philothamnus thomensis","BOCAGE",1882,8,1,"",0,"","no"
"1798","Colubridae","Rodriguesophis","Rodriguesophis chui","RODRIGUES",1993,3,1,"",0,"","no"
"1799","Colubridae","Phimophis","Phimophis guerini","DUMÉRIL, BIBRON  & DUMÉRIL",1854,12,6,"Argentine Pampas Snake",0,"","no"
"1800","Colubridae","Phimophis","Phimophis guianensis","TROSCHEL",1848,10,5,"Troschel's Pampas Snake",0,"","no"
"1801","Colubridae","Rodriguesophis","Rodriguesophis iglesiasi","GOMES",1915,6,3,"",0,"","no"
"1802","Colubridae","Rodriguesophis","Rodriguesophis scriptorcibatus","RODRIGUES",1993,3,1,"",0,"","no"
"1803","Colubridae","Phimophis","Phimophis vittatus","BOULENGER",1896,8,3,"Banded Pampas Snake",0,"","no"
"1804","Colubridae","Phyllorhynchus","Phyllorhynchus browni","STEJNEGER",1890,10,1,"Saddled Leafnose Snake",0,"","no"
"1805","Colubridae","Phyllorhynchus","Phyllorhynchus decurtatus","COPE",1868,18,4,"Spotted Leafnose Snake",0,"","no"
"1806","Colubridae","Pituophis","Pituophis catenifer","BLAINVILLE",1835,23,10,"Gopher Snake",1,"","no"
"1807","Colubridae","Pituophis","Pituophis deppei","DUMÉRIL",1853,16,6,"Mexican Bullsnake",0,"","no"
"1808","Colubridae","Pituophis","Pituophis lineaticollis","COPE",1861,17,5,"Middle American Gopher Snake",0,"","no"
"1809","Colubridae","Pituophis","Pituophis melanoleucus","DAUDIN",1803,21,9,"Pine Snake",0,"","no"
"1810","Colubridae","Pituophis","Pituophis ruthveni","STULL",1929,8,2,"Louisiana Pine Snake",0,"Pituophis melanoleucus ruthveni","no"
"1811","Colubridae","Plagiopholis","Plagiopholis delacouri","ANGEL",1929,6,2,"",0,"","no"
"1812","Colubridae","Plagiopholis","Plagiopholis nuchalis","BOULENGER",1893,8,2,"Assam Mountain Snake",0,"","no"
"1813","Colubridae","Plagiopholis","Plagiopholis styani","BOULENGER",1899,6,1,"Chinese Mountain Snake",0,"","no"
"1814","Uropeltidae","Platyplectrurus","Platyplectrurus madurensis","BEDDOME",1877,13,3,"Travancore Hills Thorntail Snake",0,"","no"
"1815","Uropeltidae","Platyplectrurus","Platyplectrurus trilineatus","BEDDOME",1867,10,2,"Lined Thorntail Snake",0,"","no"
"1816","Uropeltidae","Plectrurus","Plectrurus aureus","BEDDOME",1880,7,0,"Kerala Burrowing Snake",0,"","no"
"1817","Uropeltidae","Pseudoplectrurus","Pseudoplectrurus canaricus","BEDDOME",1870,10,2,"",0,"","no"
"1818","Uropeltidae","Plectrurus","Plectrurus guentheri","BEDDOME",1863,9,1,"GÃ¼nther's Burrowing Snake",0,"","no"
"1819","Uropeltidae","Plectrurus","Plectrurus perroteti","DUMÉRIL, BIBRON  & DUMÉRIL",1854,11,2,"Nilgiri Burrowing Snake",0,"","no"
"1820","Colubridae","Poecilopholis","Poecilopholis cameronensis","BOULENGER",1903,4,0,"Cameroon Racer",0,"","no"
"1821","Lamprophiidae","Polemon","Polemon acanthias","REINHARDT",1860,10,3,"Reinhardt's Snake-eater",0,"","no"
"1822","Lamprophiidae","Polemon","Polemon barthii","JAN",1858,7,1,"Guinea Snake-eater",0,"","no"
"1823","Lamprophiidae","Polemon","Polemon bocourti","MOCQUARD",1897,7,2,"Bocourt's Snake-eater",0,"","no"
"1824","Lamprophiidae","Polemon","Polemon christyi","BOULENGER",1903,12,5,"Eastern Snake-eater",0,"","no"
"1825","Lamprophiidae","Polemon","Polemon collaris","PETERS",1881,16,3,"Collared Snake-eater",0,"","no"
"1826","Lamprophiidae","Polemon","Polemon fulvicollis","MOCQUARD",1887,14,5,"African Snake-eater",0,"","no"
"1827","Lamprophiidae","Polemon","Polemon gabonensis","DUMÉRIL",1856,18,6,"Gaboon Snake-eater",0,"","no"
"1828","Lamprophiidae","Polemon","Polemon gracilis","BOULENGER",1911,6,2,"Graceful Snake-eater",0,"","no"
"1829","Lamprophiidae","Polemon","Polemon griseiceps","LAURENT",1947,4,2,"Cameroon Snake-eater",0,"","no"
"1830","Lamprophiidae","Polemon","Polemon neuwiedi","JAN",1858,6,4,"Ivory Coast Snake-eater",0,"","no"
"1831","Lamprophiidae","Polemon","Polemon notatus","PETERS",1882,11,5,"Peters' Snake-eater",0,"","no"
"1832","Lamprophiidae","Polemon","Polemon robustus","DE WITTE & LAURENT",1943,5,1,"Zaire Snake-eater",0,"","no"
"1833","Viperidae","Porthidium","Porthidium dunni","HARTWEG & OLIVER",1938,7,2,"Dunn's Hognose Viper",0,"","yes"
"1834","Viperidae","Porthidium","Porthidium hespere","CAMPBELL",1976,6,1,"Western Hognose Viper",0,"","yes"
"1835","Viperidae","Porthidium","Porthidium lansbergii","SCHLEGEL",1841,22,10,"Lansberg's Hognose Viper",0,"","yes"
"1836","Viperidae","Porthidium","Porthidium nasutum","BOCOURT",1868,18,9,"Rainforest Hognose Viper",1,"","yes"
"1837","Viperidae","Porthidium","Porthidium ophryomegas","BOCOURT",1868,14,4,"Slender Hognose Viper",0,"","yes"
"1838","Viperidae","Porthidium","Porthidium volcanicum","SOLORZANO",1995,4,0,"",0,"","yes"
"1839","Viperidae","Porthidium","Porthidium yucatanicum","SMITH",1941,8,4,"YucatÃ¡n Hognose Viper",0,"","yes"
"1840","Viperidae","Proatheris","Proatheris superciliaris","PETERS",1855,14,3,"",0,"","yes"
"1841","Lamprophiidae","Prosymna","Prosymna ambigua","BOCAGE",1873,27,7,"East African Shovelsnout Snake",0,"","no"
"1842","Lamprophiidae","Prosymna","Prosymna angolensis","BOULENGER",1915,5,0,"Angola Shovelsnout Snake",0,"","no"
"1843","Lamprophiidae","Prosymna","Prosymna bivittata","WERNER",1903,6,1,"Twin-striped Shovelsnout Snake",1,"","no"
"1844","Lamprophiidae","Prosymna","Prosymna frontalis","PETERS",1867,5,2,"South-western Shovelsnout Snake",0,"","no"
"1845","Lamprophiidae","Prosymna","Prosymna janii","BIANCONI",1862,3,1,"Mozambique Shovelsnout Snake",0,"","no"
"1846","Lamprophiidae","Prosymna","Prosymna meleagris","REINHARDT",1843,6,2,"Reinhardt's Shovelsnout Snake",0,"","no"
"1847","Lamprophiidae","Prosymna","Prosymna ornatissima","BARBOUR & LOVERIDGE",1928,5,1,"Ornate Shovelsnout Snake",0,"","no"
"1848","Lamprophiidae","Prosymna","Prosymna pitmani","BATTERSBY",1951,5,0,"Pitman's Shovelsnout Snake",0,"","no"
"1849","Lamprophiidae","Prosymna","Prosymna ruspolii","BOULENGER",1896,10,3,"Ruspoli's Shovelsnout Snake",0,"","no"
"1850","Lamprophiidae","Prosymna","Prosymna semifasciata","BROADLEY",1995,4,0,"",0,"","no"
"1851","Lamprophiidae","Prosymna","Prosymna somalica","PARKER",1930,4,1,"Somali Shovelsnout Snake",0,"","no"
"1852","Lamprophiidae","Prosymna","Prosymna sundevalli","SMITH",1849,9,3,"Sundevall's Shovelsnout Snake",0,"","no"
"1853","Lamprophiidae","Prosymna","Prosymna visseri","FITZSIMONS",1959,3,0,"",0,"","no"
"1854","Viperidae","Protobothrops","Protobothrops elegans","GRAY",1849,12,6,"Elegant Pit Viper",0,"Trimeresurus elegans","yes"
"1855","Viperidae","Protobothrops","Protobothrops flavoviridis","HALLOWELL",1861,16,5,"Yellow-spotted Pit Viper",0,"Trimeresurus flavoviridis","yes"
"1856","Viperidae","Protobothrops","Protobothrops jerdonii","GÜNTHER",1875,23,7,"Oriental Pit Viper",0,"Trimeresurus jerdoni","yes"
"1857","Viperidae","Protobothrops","Protobothrops kaulbacki","SMITH",1940,7,1,"Burmese Pitviper",0,"Trimeresurus kaulbacki","yes"
"1858","Viperidae","Protobothrops","Protobothrops mucrosquamatus","CANTOR",1839,15,3,"Chinese Habu",1,"Trimeresurus mucrosquamatus","yes"
"1859","Viperidae","Trimeresurus","Trimeresurus strigatus","GRAY",1842,12,5,"Gray's Pit Viper",0,"","yes"
"1860","Viperidae","Protobothrops","Protobothrops xiangchengensis","ZHAO, JIANG & HUANG",1979,9,1,"Szechwan Pit Viper",0,"Trimeresurus xiangchengensis","yes"
"1861","Lamprophiidae","Psammodynastes","Psammodynastes pictus","GÜNTHER",1858,4,1,"Painted Mock Viper",0,"","no"
"1862","Lamprophiidae","Psammodynastes","Psammodynastes pulverulentus","BOIE",1827,18,7,"Common Mock Viper",1,"","no"
"1863","Lamprophiidae","Psammophis","Psammophis aegyptius","MARX",1958,7,1,"Egyptian Sand Racer",0,"","no"
"1864","Lamprophiidae","Psammophis","Psammophis angolensis","BOCAGE",1872,10,3,"Dwarf Sand Racer",0,"","no"
"1865","Lamprophiidae","Psammophis","Psammophis ansorgii","BOULENGER",1905,4,0,"Link-marked Sand Racer",0,"","no"
"1866","Lamprophiidae","Psammophis","Psammophis biseriatus","PETERS",1881,9,0,"Two-striped Sand Racer",0,"","no"
"1867","Lamprophiidae","Psammophis","Psammophis condanarus","MERREM",1820,12,7,"Indian Sand Racer",0,"","no"
"1868","Lamprophiidae","Psammophis","Psammophis crucifer","DAUDIN",1803,8,2,"Crossed Grass Racer",0,"","no"
"1869","Lamprophiidae","Psammophis","Psammophis elegans","SHAW",1802,6,1,"Elegant Sand Racer",0,"","no"
"1870","Lamprophiidae","Psammophis","Psammophis jallae","PERACCA",1896,7,2,"Jalla's Sand Snake",0,"","no"
"1871","Lamprophiidae","Psammophis","Psammophis leightoni","BOULENGER",1902,4,0,"Cape Sand Snake",0,"","no"
"1872","Lamprophiidae","Psammophis","Psammophis leithii","GÜNTHER",1869,6,1,"Pakistani Sand Racer",0,"","no"
"1873","Lamprophiidae","Psammophis","Psammophis lineolatus","BRANDT",1838,11,6,"Steppe Ribbon Racer",0,"","no"
"1874","Lamprophiidae","Psammophis","Psammophis longifrons","BOULENGER",1890,6,0,"Long Sand Racer",0,"","no"
"1875","Lamprophiidae","Psammophis","Psammophis notostictus","PETERS",1867,6,1,"Karoo Sand Racer",0,"","no"
"1876","Lamprophiidae","Psammophis","Psammophis phillipsii","HALLOWELL",1844,15,6,"",0,"","no"
"1877","Lamprophiidae","Psammophis","Psammophis pulcher","BOULENGER",1895,6,0,"Boulenger's Sand Racer",0,"","no"
"1878","Lamprophiidae","Psammophis","Psammophis punctulatus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,13,2,"Speckled Sand Racer",0,"","no"
"1879","Lamprophiidae","Psammophis","Psammophis rukwae","BROADLEY",1966,12,5,"Rukwa Sand Racer",0,"Psammophis leucogaster","no"
"1880","Lamprophiidae","Psammophis","Psammophis schokari","FORSKAL",1775,16,7,"Schokari Sand Racer",1,"","no"
"1881","Lamprophiidae","Psammophis","Psammophis sibilans","LINNAEUS",1758,15,4,"African Beauty Racer",0,"","no"
"1882","Lamprophiidae","Psammophis","Psammophis subtaeniatus","PETERS",1882,10,3,"Stripe-bellied Sand Snake",0,"","no"
"1883","Lamprophiidae","Psammophis","Psammophis tanganicus","LOVERIDGE",1940,9,1,"Western Link-marked Sand Racer",0,"","no"
"1884","Lamprophiidae","Psammophis","Psammophis trigrammus","GÜNTHER",1865,5,0,"Western Sand Snake",0,"","no"
"1885","Lamprophiidae","Psammophylax","Psammophylax rhombeatus","LINNAEUS",1758,12,4,"Spotted Skaapsteker",1,"","no"
"1886","Lamprophiidae","Psammophylax","Psammophylax tritaeniatus","GÜNTHER",1868,20,6,"Striped Skaapsteker",0,"","no"
"1887","Lamprophiidae","Psammophylax","Psammophylax variabilis","GÜNTHER",1893,12,3,"Grey-bellied Skaapsteker",0,"","no"
"1888","Colubridae","Philodryas","Philodryas agassizii","JAN",1863,16,8,"",0,"","no"
"1889","Lamprophiidae","Pseudaspis","Pseudaspis cana","LINNAEUS",1758,18,8,"Mole Snake",1,"","no"
"1890","Elapidae","Pseudechis","Pseudechis australis","GRAY",1842,18,9,"Mulga or King Brown Snake",1,"","yes"
"1891","Elapidae","Pseudechis","Pseudechis butleri","SMITH",1982,5,0,"Spotted Mulga Snake",0,"","yes"
"1892","Elapidae","Pseudechis","Pseudechis colletti","BOULENGER",1902,6,0,"Collett's Black Snake",0,"","yes"
"1893","Elapidae","Pseudechis","Pseudechis guttatus","DE VIS",1905,8,3,"Spotted Black Snake",0,"","yes"
"1894","Elapidae","Pseudechis","Pseudechis papuanus","PETERS & DORIA",1878,8,1,"Papua Black Snake",0,"","yes"
"1895","Elapidae","Pseudechis","Pseudechis porphyriacus","SHAW",1794,14,7,"Red-bellied Black Snake",1,"","yes"
"1896","Colubridae","Pseudoboa","Pseudoboa coronata","SCHNEIDER",1801,13,3,"Crowned False Boa",0,"","no"
"1897","Colubridae","Pseudoboa","Pseudoboa haasi","BOETTGER",1905,3,1,"ParanÃ¡ False Boa",0,"","no"
"1898","Colubridae","Pseudoboa","Pseudoboa neuwiedii","DUMÉRIL, BIBRON  & DUMÉRIL",1854,13,5,"Neuwied's False Boa",1,"","no"
"1899","Colubridae","Pseudoboa","Pseudoboa nigra","DUMÉRIL, BIBRON  & DUMÉRIL",1854,9,3,"Black False Boa",0,"","no"
"1900","Colubridae","Pseudoboa","Pseudoboa serrana","MORATO, MOURA-LEITE, PRUDENTE & BÉRNILS",1995,3,0,"",0,"","no"
"1901","Lamprophiidae","Pseudoboodon","Pseudoboodon boehmei","RASMUSSEN & LARGEN",1992,3,0,"",0,"","no"
"1902","Lamprophiidae","Pseudoboodon","Pseudoboodon gascae","PERACCA",1897,4,0,"",0,"","no"
